Element,Data type,MinLength,MaxLength,Description,Example,Example in JSON,,,,Create file,Add description,Add specifications,Add example,Closing tag
RecurAmount,Currency,3,12,The amount of a recurring transaction. This amount is in the currency that you specify in the CurrencyCode element. You must use a decimal point to separate the integer part from the fractional part of a number. The minimum amount is 0.00.,<RecurAmount>9.95</RecurAmount>,"{
  ""RecurAmount"": ""9.95""
}",,,,"New-Item -Path . -Name ""RecurAmount.md"" -ItemType ""file"" -Value ""# RecurAmount"";Add-Content -Path "".\RecurAmount.md"" -Value ""`n""","Add-Content -Path "".\RecurAmount.md"" @""
The amount of a recurring transaction. This amount is in the currency that you specify in the CurrencyCode element. You must use a decimal point to separate the integer part from the fractional part of a number. The minimum amount is 0.00.
""@","Add-Content -Path "".\RecurAmount.md"" -Value ""`n"";Add-Content -Path "".\RecurAmount.md"" -Value ""## Specifications"";Add-Content -Path "".\RecurAmount.md"" -Value ""`n"";Add-Content -Path "".\RecurAmount.md"" -Value ""* Data type: Currency"";Add-Content -Path "".\RecurAmount.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\RecurAmount.md"" -Value ""* Maximal length: 12"";Add-Content -Path "".\RecurAmount.md"" -Value ""`n"";Add-Content -Path "".\RecurAmount.md"" -Value ""## Example"";Add-Content -Path "".\RecurAmount.md"" -Value ""`n"";Add-Content -Path "".\RecurAmount.md"" -Value ""`````` json""","Add-Content -Path "".\RecurAmount.md"" @""
{
  ""RecurAmount"": ""9.95""
}
""@","Add-Content -Path "".\RecurAmount.md"" -Value ""``````"""
RecurFrequency,Numeric,1,3,The frequency of a recurring transaction. Use this element with the RecurPeriod element.,<RecurFrequency>7</RecurFrequency>,"{
  ""RecurFrequency"": ""7""
}",,,,"New-Item -Path . -Name ""RecurFrequency.md"" -ItemType ""file"" -Value ""# RecurFrequency"";Add-Content -Path "".\RecurFrequency.md"" -Value ""`n""","Add-Content -Path "".\RecurFrequency.md"" @""
The frequency of a recurring transaction. Use this element with the RecurPeriod element.
""@","Add-Content -Path "".\RecurFrequency.md"" -Value ""`n"";Add-Content -Path "".\RecurFrequency.md"" -Value ""## Specifications"";Add-Content -Path "".\RecurFrequency.md"" -Value ""`n"";Add-Content -Path "".\RecurFrequency.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\RecurFrequency.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\RecurFrequency.md"" -Value ""* Maximal length: 3"";Add-Content -Path "".\RecurFrequency.md"" -Value ""`n"";Add-Content -Path "".\RecurFrequency.md"" -Value ""## Example"";Add-Content -Path "".\RecurFrequency.md"" -Value ""`n"";Add-Content -Path "".\RecurFrequency.md"" -Value ""`````` json""","Add-Content -Path "".\RecurFrequency.md"" @""
{
  ""RecurFrequency"": ""7""
}
""@","Add-Content -Path "".\RecurFrequency.md"" -Value ""``````"""
RecurPeriod,Alphanumeric,1,7,"The period when the system processes a recurring transaction. Use this element with the RecurFrequency element.

The value of Daily indicates that the system processes a recurring transaction every RecurFrequency days.
The value of Monthly indicates that the system processes a recurring transaction every RecurFrequency months.
The value of Yearly indicates that the system processes a recurring transaction every RecurFrequency years.",<RecurPeriod>Daily</RecurPeriod>,"{
  ""RecurPeriod"": ""Daily""
}",,,,"New-Item -Path . -Name ""RecurPeriod.md"" -ItemType ""file"" -Value ""# RecurPeriod"";Add-Content -Path "".\RecurPeriod.md"" -Value ""`n""","Add-Content -Path "".\RecurPeriod.md"" @""
The period when the system processes a recurring transaction. Use this element with the RecurFrequency element.

The value of Daily indicates that the system processes a recurring transaction every RecurFrequency days.
The value of Monthly indicates that the system processes a recurring transaction every RecurFrequency months.
The value of Yearly indicates that the system processes a recurring transaction every RecurFrequency years.
""@","Add-Content -Path "".\RecurPeriod.md"" -Value ""`n"";Add-Content -Path "".\RecurPeriod.md"" -Value ""## Specifications"";Add-Content -Path "".\RecurPeriod.md"" -Value ""`n"";Add-Content -Path "".\RecurPeriod.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\RecurPeriod.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\RecurPeriod.md"" -Value ""* Maximal length: 7"";Add-Content -Path "".\RecurPeriod.md"" -Value ""`n"";Add-Content -Path "".\RecurPeriod.md"" -Value ""## Example"";Add-Content -Path "".\RecurPeriod.md"" -Value ""`n"";Add-Content -Path "".\RecurPeriod.md"" -Value ""`````` json""","Add-Content -Path "".\RecurPeriod.md"" @""
{
  ""RecurPeriod"": ""Daily""
}
""@","Add-Content -Path "".\RecurPeriod.md"" -Value ""``````"""
Recurring,Array of elements,N/A,N/A,Contains all the sub-elements that define a recurring transaction in the system.,,"""Recurring"": {
      ""Generate"": ""0"",
      ""Any"": [
        null
      ],
      ""Guid"": ""string"",
      ""InstallmentCount"": 0,
      ""InstallmentTotal"": 0
    }",,,,"New-Item -Path . -Name ""Recurring.md"" -ItemType ""file"" -Value ""# Recurring"";Add-Content -Path "".\Recurring.md"" -Value ""`n""","Add-Content -Path "".\Recurring.md"" @""
Contains all the sub-elements that define a recurring transaction in the system.
""@","Add-Content -Path "".\Recurring.md"" -Value ""`n"";Add-Content -Path "".\Recurring.md"" -Value ""## Specifications"";Add-Content -Path "".\Recurring.md"" -Value ""`n"";Add-Content -Path "".\Recurring.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Recurring.md"" -Value ""`n"";Add-Content -Path "".\Recurring.md"" -Value ""## Example"";Add-Content -Path "".\Recurring.md"" -Value ""`n"";Add-Content -Path "".\Recurring.md"" -Value ""`````` json""","Add-Content -Path "".\Recurring.md"" @""
""Recurring"": {
      ""Generate"": ""0"",
      ""Any"": [
        null
      ],
      ""Guid"": ""string"",
      ""InstallmentCount"": 0,
      ""InstallmentTotal"": 0
    }
""@","Add-Content -Path "".\Recurring.md"" -Value ""``````"""
Reference,Array of elements,N/A,N/A,Contains all the sub-elements that reference or identify requests or data in the system.,,"""Reference"": {
      ""Guid"": ""string""
    }",,,,"New-Item -Path . -Name ""Reference.md"" -ItemType ""file"" -Value ""# Reference"";Add-Content -Path "".\Reference.md"" -Value ""`n""","Add-Content -Path "".\Reference.md"" @""
Contains all the sub-elements that reference or identify requests or data in the system.
""@","Add-Content -Path "".\Reference.md"" -Value ""`n"";Add-Content -Path "".\Reference.md"" -Value ""## Specifications"";Add-Content -Path "".\Reference.md"" -Value ""`n"";Add-Content -Path "".\Reference.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Reference.md"" -Value ""`n"";Add-Content -Path "".\Reference.md"" -Value ""## Example"";Add-Content -Path "".\Reference.md"" -Value ""`n"";Add-Content -Path "".\Reference.md"" -Value ""`````` json""","Add-Content -Path "".\Reference.md"" @""
""Reference"": {
      ""Guid"": ""string""
    }
""@","Add-Content -Path "".\Reference.md"" -Value ""``````"""
Region,Alpha,2,2,"The two-letter code of the state of a user, consumer, shipping record, or account. This element uses the ISO 3166-2 subdivision code without the country prefix. For more information, see https://en.wikipedia.org/wiki/ISO_3166-2:US.",<Region>NY</Region>,"{
  ""Region"": ""NY""
}",,,,"New-Item -Path . -Name ""Region.md"" -ItemType ""file"" -Value ""# Region"";Add-Content -Path "".\Region.md"" -Value ""`n""","Add-Content -Path "".\Region.md"" @""
The two-letter code of the state of a user, consumer, shipping record, or account. This element uses the ISO 3166-2 subdivision code without the country prefix. For more information, see https://en.wikipedia.org/wiki/ISO_3166-2:US.
""@","Add-Content -Path "".\Region.md"" -Value ""`n"";Add-Content -Path "".\Region.md"" -Value ""## Specifications"";Add-Content -Path "".\Region.md"" -Value ""`n"";Add-Content -Path "".\Region.md"" -Value ""* Data type: Alpha"";Add-Content -Path "".\Region.md"" -Value ""* Minimal length: 2"";Add-Content -Path "".\Region.md"" -Value ""* Maximal length: 2"";Add-Content -Path "".\Region.md"" -Value ""`n"";Add-Content -Path "".\Region.md"" -Value ""## Example"";Add-Content -Path "".\Region.md"" -Value ""`n"";Add-Content -Path "".\Region.md"" -Value ""`````` json""","Add-Content -Path "".\Region.md"" @""
{
  ""Region"": ""NY""
}
""@","Add-Content -Path "".\Region.md"" -Value ""``````"""
RegisteredUser,Integer,,,An indicator of the previously registered user.,,,,,,"New-Item -Path . -Name ""RegisteredUser.md"" -ItemType ""file"" -Value ""# RegisteredUser"";Add-Content -Path "".\RegisteredUser.md"" -Value ""`n""","Add-Content -Path "".\RegisteredUser.md"" @""
An indicator of the previously registered user.
""@","Add-Content -Path "".\RegisteredUser.md"" -Value ""`n"";Add-Content -Path "".\RegisteredUser.md"" -Value ""## Specifications"";Add-Content -Path "".\RegisteredUser.md"" -Value ""`n"";Add-Content -Path "".\RegisteredUser.md"" -Value ""* Data type: Integer"";Add-Content -Path "".\RegisteredUser.md"" -Value ""* Minimal length: "";Add-Content -Path "".\RegisteredUser.md"" -Value ""* Maximal length: "";Add-Content -Path "".\RegisteredUser.md"" -Value ""`n"";Add-Content -Path "".\RegisteredUser.md"" -Value ""## Example"";Add-Content -Path "".\RegisteredUser.md"" -Value ""`n"";Add-Content -Path "".\RegisteredUser.md"" -Value ""`````` json""","Add-Content -Path "".\RegisteredUser.md"" @""

""@","Add-Content -Path "".\RegisteredUser.md"" -Value ""``````"""
RegisteredUserPasswordChangeDate,String,,,The date when the registered user has changed the password.,,,,,,"New-Item -Path . -Name ""RegisteredUserPasswordChangeDate.md"" -ItemType ""file"" -Value ""# RegisteredUserPasswordChangeDate"";Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" -Value ""`n""","Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" @""
The date when the registered user has changed the password.
""@","Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" -Value ""`n"";Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" -Value ""## Specifications"";Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" -Value ""`n"";Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" -Value ""* Data type: String"";Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" -Value ""* Minimal length: "";Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" -Value ""* Maximal length: "";Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" -Value ""`n"";Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" -Value ""## Example"";Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" -Value ""`n"";Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" -Value ""`````` json""","Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" @""

""@","Add-Content -Path "".\RegisteredUserPasswordChangeDate.md"" -Value ""``````"""
Request,Array of elements,N/A,N/A,Contains all the sub-elements required to create a transaction request.,,"""Request"": {
    ""Batch"": {},
    ""Detail"": {},
    ""User"": {},
    ""StorageSafe"": {},
    ""Token"": {},
    ""Account"": {},
    ""Reference"": {},
    ""IndustryData"": {},
    ""PurchaseData"": {},
    ""Shipping"": {},
    ""CardSecurity"": {},
    ""SoftDescriptors"": {},
    ""UserDefined"": {},
    ""HostData"": {},
    ""Recurring"": {},
    ""Template"": {},
    ""PayPage"": {},
    ""Echo"": {}
  }",,,,"New-Item -Path . -Name ""Request.md"" -ItemType ""file"" -Value ""# Request"";Add-Content -Path "".\Request.md"" -Value ""`n""","Add-Content -Path "".\Request.md"" @""
Contains all the sub-elements required to create a transaction request.
""@","Add-Content -Path "".\Request.md"" -Value ""`n"";Add-Content -Path "".\Request.md"" -Value ""## Specifications"";Add-Content -Path "".\Request.md"" -Value ""`n"";Add-Content -Path "".\Request.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Request.md"" -Value ""`n"";Add-Content -Path "".\Request.md"" -Value ""## Example"";Add-Content -Path "".\Request.md"" -Value ""`n"";Add-Content -Path "".\Request.md"" -Value ""`````` json""","Add-Content -Path "".\Request.md"" @""
""Request"": {
    ""Batch"": {},
    ""Detail"": {},
    ""User"": {},
    ""StorageSafe"": {},
    ""Token"": {},
    ""Account"": {},
    ""Reference"": {},
    ""IndustryData"": {},
    ""PurchaseData"": {},
    ""Shipping"": {},
    ""CardSecurity"": {},
    ""SoftDescriptors"": {},
    ""UserDefined"": {},
    ""HostData"": {},
    ""Recurring"": {},
    ""Template"": {},
    ""PayPage"": {},
    ""Echo"": {}
  }
""@","Add-Content -Path "".\Request.md"" -Value ""``````"""
Response,Array of elements,N/A,N/A,Contains all the sub-elements of a transaction response.,,"""Response"": {
    ""Reference"": {},
    ""Result"": {},
    ""Surcharge"": {},
    ""CashDiscount"": {},
    ""PayToPay"": {},
    ""StorageSafe"": {},
    ""Account"": {},
    ""Shipping"": {},
    ""UserDefined"": {},
    ""Recurring"": {},
    ""Duplicate"": {},
    ""RuleResult"": {},
    ""SmartCard"": {},
    ""Bank"": {},
    ""Echo"": {}
  }",,,,"New-Item -Path . -Name ""Response.md"" -ItemType ""file"" -Value ""# Response"";Add-Content -Path "".\Response.md"" -Value ""`n""","Add-Content -Path "".\Response.md"" @""
Contains all the sub-elements of a transaction response.
""@","Add-Content -Path "".\Response.md"" -Value ""`n"";Add-Content -Path "".\Response.md"" -Value ""## Specifications"";Add-Content -Path "".\Response.md"" -Value ""`n"";Add-Content -Path "".\Response.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Response.md"" -Value ""`n"";Add-Content -Path "".\Response.md"" -Value ""## Example"";Add-Content -Path "".\Response.md"" -Value ""`n"";Add-Content -Path "".\Response.md"" -Value ""`````` json""","Add-Content -Path "".\Response.md"" @""
""Response"": {
    ""Reference"": {},
    ""Result"": {},
    ""Surcharge"": {},
    ""CashDiscount"": {},
    ""PayToPay"": {},
    ""StorageSafe"": {},
    ""Account"": {},
    ""Shipping"": {},
    ""UserDefined"": {},
    ""Recurring"": {},
    ""Duplicate"": {},
    ""RuleResult"": {},
    ""SmartCard"": {},
    ""Bank"": {},
    ""Echo"": {}
  }
""@","Add-Content -Path "".\Response.md"" -Value ""``````"""
ResponseCode,Alphanumeric,2,2,"The transaction status. The Transaction Services system includes this code in each response message.

The value of 00 indicates an approved transaction.
The value of X0 indicates a validation error (xsd).
The value of X1 indicates a validation error in the business logic of the application.
The value of X2 indicates a validation error in the business logic of the database.
The value of X3 indicates a security violation such as encryption, source, transaction type, card type, and so on.
The value of X4 indicates a database exception that occurs when the system is offline.
The value of X5 indicates a system error such as an unhandled application exception.
The value of X6 indicates a system rule decline.
The value of X7 indicates a transaction lookup error (record not found).
The value of X8 indicates a rejected batch because it is already settled or closed.
The value of X9 indicates a failure to send an alert.
The value of XA indicates a failure to send an alert.
The value of XA indicates an expired transaction.
The value of XB indicates that a transaction is not closed.
The value of XC indicates that a transaction is already closed.",<ResponseCode>00</ResponseCode>,"{
  ""ResponseCode"": ""00""
}",,,,"New-Item -Path . -Name ""ResponseCode.md"" -ItemType ""file"" -Value ""# ResponseCode"";Add-Content -Path "".\ResponseCode.md"" -Value ""`n""","Add-Content -Path "".\ResponseCode.md"" @""
The transaction status. The Transaction Services system includes this code in each response message.

The value of 00 indicates an approved transaction.
The value of X0 indicates a validation error (xsd).
The value of X1 indicates a validation error in the business logic of the application.
The value of X2 indicates a validation error in the business logic of the database.
The value of X3 indicates a security violation such as encryption, source, transaction type, card type, and so on.
The value of X4 indicates a database exception that occurs when the system is offline.
The value of X5 indicates a system error such as an unhandled application exception.
The value of X6 indicates a system rule decline.
The value of X7 indicates a transaction lookup error (record not found).
The value of X8 indicates a rejected batch because it is already settled or closed.
The value of X9 indicates a failure to send an alert.
The value of XA indicates a failure to send an alert.
The value of XA indicates an expired transaction.
The value of XB indicates that a transaction is not closed.
The value of XC indicates that a transaction is already closed.
""@","Add-Content -Path "".\ResponseCode.md"" -Value ""`n"";Add-Content -Path "".\ResponseCode.md"" -Value ""## Specifications"";Add-Content -Path "".\ResponseCode.md"" -Value ""`n"";Add-Content -Path "".\ResponseCode.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\ResponseCode.md"" -Value ""* Minimal length: 2"";Add-Content -Path "".\ResponseCode.md"" -Value ""* Maximal length: 2"";Add-Content -Path "".\ResponseCode.md"" -Value ""`n"";Add-Content -Path "".\ResponseCode.md"" -Value ""## Example"";Add-Content -Path "".\ResponseCode.md"" -Value ""`n"";Add-Content -Path "".\ResponseCode.md"" -Value ""`````` json""","Add-Content -Path "".\ResponseCode.md"" @""
{
  ""ResponseCode"": ""00""
}
""@","Add-Content -Path "".\ResponseCode.md"" -Value ""``````"""
